x,y,std,con_95,con_95_plus,con_99,con_99_plus
9.200000000000000000e+02,4.221904045575625153e-01,6.230521587058818374e-03,9.951202824954573107e-04,4.231855248400579472e-01,1.313843472242469824e-03,4.235042480298049639e-01
9.400000000000000000e+02,4.189129758190798802e-01,6.113747579397630673e-03,9.764694870735634398e-04,4.198894453061534637e-01,1.289219086378546111e-03,4.202021949054584038e-01
9.600000000000000000e+02,4.232742277445731283e-01,6.618380013113133072e-03,1.057067870849068931e-03,4.243312956154222104e-01,1.395632011790128068e-03,4.246698597563632327e-01
9.800000000000000000e+02,4.259621597729720266e-01,6.808252530640033530e-03,1.087393741747574036e-03,4.270495535147196264e-01,1.435670837468721759e-03,4.273978306104407321e-01
1.000000000000000000e+03,4.252605829146001160e-01,6.705119220571817591e-03,1.070921597768016362e-03,4.263315045123681202e-01,1.413922894810866644e-03,4.266745058094109644e-01
1.020000000000000000e+03,4.272489077472067520e-01,5.943143038474828915e-03,9.492210397989828867e-04,4.281981287870057495e-01,1.253243340320316004e-03,4.285021510875270945e-01
1.040000000000000000e+03,4.285100901668721929e-01,6.427663328805543683e-03,1.026607172155887112e-03,4.295366973390281062e-01,1.355415174848947175e-03,4.298655053417211325e-01
1.060000000000000000e+03,4.303658858135149257e-01,5.524896374024059614e-03,8.824199328506470525e-04,4.312483057463655789e-01,1.165046767658213999e-03,4.315309325811731433e-01
1.080000000000000000e+03,4.315448778790312856e-01,6.328160601427162621e-03,1.010714893990362654e-03,4.325555927730216355e-01,1.334432820962565486e-03,4.328793106999938578e-01
1.100000000000000000e+03,4.314748770617819473e-01,6.742649699840763330e-03,1.076915853724030609e-03,4.325517929155059949e-01,1.421837027601940496e-03,4.328967140893839050e-01
1.120000000000000000e+03,4.348915198019572825e-01,6.188874495567915288e-03,9.884685335414652909e-04,4.358799883354987359e-01,1.305061260588334703e-03,4.361965810625456075e-01
1.140000000000000000e+03,4.343079224035337194e-01,6.611020195832679504e-03,1.055892382834317314e-03,4.353638147863680419e-01,1.394080031308926604e-03,4.357020024348426390e-01
1.160000000000000000e+03,4.361515230946726440e-01,5.738756570688292868e-03,9.165770441527054885e-04,4.370681001388253550e-01,1.210143926769804892e-03,4.373616670214424684e-01
1.180000000000000000e+03,4.390207482622815460e-01,5.591580100606466375e-03,8.930704583174658333e-04,4.399138187205990369e-01,1.179108508340899648e-03,4.401998567706224552e-01
1.200000000000000000e+03,4.379955212791244445e-01,5.805791507163335884e-03,9.272836638136765447e-04,4.389228049429381162e-01,1.224279727837063398e-03,4.392198010069615077e-01
1.220000000000000000e+03,4.395249081509454148e-01,6.194799099020499231e-03,9.894147934940277379e-04,4.405143229444394293e-01,1.306310594446349112e-03,4.408312187453917730e-01
1.240000000000000000e+03,4.418093531162707865e-01,5.797466332596043839e-03,9.259539918188896884e-04,4.427353071080896707e-01,1.222524180390885829e-03,4.430318772966616581e-01
1.260000000000000000e+03,4.403531127548837021e-01,6.416018206818967229e-03,1.024747248083872570e-03,4.413778600029675814e-01,1.352959542958141921e-03,4.417060722978418674e-01
1.280000000000000000e+03,4.427091332225056575e-01,5.634011137758456085e-03,8.998474167289358160e-04,4.436089806392345958e-01,1.188056032300757389e-03,4.438971892548064235e-01
1.300000000000000000e+03,4.441944767128337412e-01,5.848327629328404012e-03,9.340774060892966923e-04,4.451285541189230477e-01,1.233249411299385673e-03,4.454277261241331165e-01
1.320000000000000000e+03,4.438932381280056849e-01,5.239309663355611046e-03,8.368068771495607190e-04,4.447300450051552279e-01,1.104824484446759094e-03,4.449980626124524496e-01
1.340000000000000000e+03,4.460777963523741008e-01,5.929882243901085127e-03,9.471030653312035837e-04,4.470248994177052904e-01,1.250447008080066797e-03,4.473282433604541808e-01
1.360000000000000000e+03,4.457659425286503718e-01,5.809251134208639512e-03,9.278362251032165825e-04,4.466937787537536009e-01,1.225009266824506494e-03,4.469909517954748779e-01
1.380000000000000000e+03,4.490787632666625173e-01,5.407999516623893978e-03,8.637495162356880135e-04,4.499425127828982074e-01,1.140396476205910760e-03,4.502191597428684133e-01
1.400000000000000000e+03,4.482631431771563202e-01,6.068823514078154277e-03,9.692943496557881490e-04,4.492324375268121339e-01,1.279745852213177949e-03,4.495428890293695079e-01
1.420000000000000000e+03,4.495117422435190857e-01,5.481600986446394722e-03,8.755049229730591312e-04,4.503872471664921440e-01,1.155916976267189374e-03,4.506676592197862985e-01
1.440000000000000000e+03,4.516263000376812831e-01,5.125648708344947811e-03,8.186532891909147286e-04,4.524449533268721790e-01,1.080856554683097027e-03,4.527071565923643792e-01
1.460000000000000000e+03,4.515323124148629130e-01,5.509795395483481524e-03,8.800080497006920700e-04,4.524123204645635887e-01,1.161862391871566931e-03,4.526941748067344617e-01
1.480000000000000000e+03,4.523031011030271276e-01,5.831713109204648450e-03,9.314237846022256542e-04,4.532345248876293309e-01,1.229745871747515941e-03,4.535328469747746394e-01
1.500000000000000000e+03,4.546060304750095815e-01,5.702365457083678237e-03,9.107647642746023687e-04,4.555167952392841779e-01,1.202470054464095097e-03,4.558085005294736924e-01
1.520000000000000000e+03,4.528249567979342194e-01,5.624471651914253294e-03,8.983237985670371748e-04,4.537232805965012439e-01,1.186044420426883442e-03,4.540110012183610766e-01
1.540000000000000000e+03,4.545879398847555430e-01,4.813458236500037062e-03,7.687911602834451592e-04,4.553567310450389871e-01,1.015024279198861300e-03,4.556029641639544048e-01
1.560000000000000000e+03,4.573796931412312805e-01,5.075353142588457864e-03,8.106202317807897255e-04,4.581903133730120814e-01,1.070250620680852655e-03,4.584499437619121154e-01
1.580000000000000000e+03,4.540232199353056997e-01,5.843630276138080983e-03,9.333271588799064815e-04,4.549565470941855927e-01,1.232258870340705286e-03,4.552554788056464297e-01
1.600000000000000000e+03,4.569325561260247914e-01,6.317758735853053545e-03,1.009053539115983182e-03,4.579416096651407475e-01,1.332239357222374980e-03,4.582647954832471671e-01
1.620000000000000000e+03,4.585484603008666560e-01,5.195340955196066889e-03,8.297843265214453756e-04,4.593782446273880771e-01,1.095552708498122654e-03,4.596440130093648047e-01
1.640000000000000000e+03,4.603436924033350586e-01,5.199587504869493740e-03,8.304625727407392941e-04,4.611741549760757786e-01,1.096448187550723083e-03,4.614401405908857834e-01
1.660000000000000000e+03,4.603783004469685913e-01,5.406039487800439435e-03,8.634364662912744504e-04,4.612417369132598699e-01,1.139983160717131672e-03,4.615182836076857087e-01
1.680000000000000000e+03,4.604903794341272949e-01,5.110737458250923064e-03,8.162717089012730019e-04,4.613066511430285455e-01,1.077712187341572795e-03,4.615680916214688900e-01
1.700000000000000000e+03,4.617881380118332713e-01,5.845898822907610523e-03,9.336894843883901006e-04,4.627218274962216493e-01,1.232737243671569709e-03,4.630208752555048379e-01
1.720000000000000000e+03,4.622211154405172495e-01,5.520556109542707618e-03,8.817267187823805063e-04,4.631028421592996436e-01,1.164131526762736835e-03,4.633852469672800067e-01
1.740000000000000000e+03,4.627610615321567922e-01,5.410499662685220972e-03,8.641488320907192650e-04,4.636252103642475308e-01,1.140923687376986561e-03,4.639019852195337967e-01
1.760000000000000000e+03,4.652433186382442520e-01,5.330904116420473113e-03,8.514360693825577617e-04,4.660947547076267905e-01,1.124139203539112775e-03,4.663674578417833505e-01
1.780000000000000000e+03,4.637780315303183243e-01,4.624564466982669826e-03,7.386216120911745812e-04,4.645166531424094747e-01,9.751918442157062744e-04,4.647532233745340080e-01
1.800000000000000000e+03,4.648846647182068303e-01,5.239192514742386890e-03,8.367881665232581668e-04,4.657214528847301027e-01,1.104799781067015161e-03,4.659894644992738644e-01
1.820000000000000000e+03,4.669347289320710526e-01,4.630781336613428584e-03,7.396145519240205756e-04,4.676743434839950586e-01,9.765028088705947134e-04,4.679112317409416244e-01
1.840000000000000000e+03,4.627677484766229421e-01,5.392220721659928516e-03,8.612293742728395311e-04,4.636289778508957959e-01,1.137069167813894392e-03,4.639048176444368621e-01
1.860000000000000000e+03,4.655555664718925013e-01,5.344912878174909801e-03,8.536735069324801481e-04,4.664092399788249965e-01,1.127093261225630772e-03,4.666826597331181214e-01
1.880000000000000000e+03,4.684881045446767645e-01,5.050866017220659136e-03,8.067092213183399202e-04,4.692948137659950780e-01,1.065086967948264320e-03,4.695531915126250344e-01
1.900000000000000000e+03,4.693001864792464839e-01,5.005227624994844186e-03,7.994199937424781690e-04,4.700996064729889845e-01,1.055463102133551156e-03,4.703556495813800420e-01
1.920000000000000000e+03,4.696183338180764943e-01,5.030495589932531056e-03,8.034557175668050315e-04,4.704217895356432866e-01,1.060791412183738043e-03,4.706791252302602313e-01
1.940000000000000000e+03,4.694386134286979706e-01,4.693949192322711787e-03,7.497035330052543006e-04,4.701883169617032121e-01,9.898231503090351019e-04,4.704284365790070144e-01
1.960000000000000000e+03,4.712936235712720245e-01,5.457799953671860389e-03,8.717034931686150345e-04,4.721653270644406430e-01,1.150898001353692140e-03,4.724445215726257308e-01
1.980000000000000000e+03,4.708099131073270605e-01,5.725534216076087583e-03,9.144652092006714823e-04,4.717243783165277482e-01,1.207355700446826642e-03,4.720172688077738932e-01
2.000000000000000000e+03,4.720974436828068166e-01,5.438542876560988060e-03,8.686278103791657528e-04,4.729660714931859800e-01,1.146837220132880400e-03,4.732442809029396846e-01
2.020000000000000000e+03,4.739591382540665476e-01,4.839634551578863957e-03,7.729719630769122827e-04,4.747321102171434548e-01,1.020544134994741045e-03,4.749796823890612973e-01
2.040000000000000000e+03,4.729264365001158432e-01,5.189927605950966048e-03,8.289197225625695746e-04,4.737553562226783921e-01,1.094411183913179819e-03,4.740208476840290230e-01
2.060000000000000000e+03,4.732756521794703186e-01,5.326844804766290783e-03,8.507877282599723848e-04,4.741264399077302905e-01,1.123283207769878653e-03,4.743989353872402059e-01
2.080000000000000000e+03,4.756930174378605769e-01,4.793191672363832610e-03,7.655542452440491311e-04,4.764585716831046258e-01,1.010750625280312700e-03,4.767037680631409091e-01
2.100000000000000000e+03,4.719590173139200373e-01,5.135126201117047769e-03,8.201670060046577183e-04,4.727791843199247168e-01,1.082855093944675362e-03,4.730418724078647164e-01
2.120000000000000000e+03,4.745966120586767034e-01,5.567051096718613097e-03,8.891527591429837594e-04,4.754857648178196783e-01,1.173936024594818793e-03,4.757705480832715161e-01
2.140000000000000000e+03,4.773915086860780477e-01,4.728148542866937760e-03,7.551657510393621278e-04,4.781466744371173916e-01,9.970348408295832011e-04,4.783885435269076281e-01
2.160000000000000000e+03,4.764508322461858958e-01,5.430700927328237747e-03,8.673753176902683883e-04,4.773182075638761623e-01,1.145183571451122454e-03,4.775960158176369985e-01
2.180000000000000000e+03,4.775755544761558502e-01,4.308891956913171555e-03,6.882033424476055074e-04,4.782637578186034744e-01,9.086253038505053394e-04,4.784841797800063468e-01
2.200000000000000000e+03,4.778893754466787547e-01,4.294096265780325550e-03,6.858402188897937211e-04,4.785752156655685430e-01,9.055053046753829297e-04,4.787948807513541238e-01
2.220000000000000000e+03,4.787128619946442454e-01,4.812939613490187056e-03,7.687083273666727237e-04,4.794815703220109415e-01,1.014914916050604302e-03,4.797277769106948475e-01
2.240000000000000000e+03,4.782586473149138540e-01,5.157880747914093608e-03,8.238012941971207485e-04,4.790824486091109780e-01,1.087653394111908747e-03,4.793463007090257855e-01
2.260000000000000000e+03,4.802261240683592947e-01,5.263009796830924077e-03,8.405921916195595528e-04,4.810667162599788771e-01,1.109822182508265120e-03,4.813359462508675635e-01
2.280000000000000000e+03,4.811624772362894653e-01,4.362897847778455206e-03,6.968290018925395570e-04,4.818593062381820169e-01,9.200136420794218731e-04,4.820824908783689078e-01
2.300000000000000000e+03,4.802976993771342351e-01,4.580227119705492997e-03,7.315401835251927973e-04,4.810292395606594051e-01,9.658423325443781697e-04,4.812635417096786106e-01
2.320000000000000000e+03,4.807987139596567316e-01,4.699153394382572790e-03,7.505347326009234685e-04,4.815492486922576809e-01,9.909205715777102443e-04,4.817896345312344675e-01
2.340000000000000000e+03,4.827445629355195389e-01,4.318260934058073923e-03,6.896997274697670407e-04,4.834342626629893336e-01,9.106009601886499603e-04,4.836551638957081733e-01
2.360000000000000000e+03,4.801289899782700821e-01,4.419516301693549552e-03,7.058719320978488337e-04,4.808348619103679500e-01,9.319528970912842845e-04,4.810609428753613859e-01
