x,y,std,con_95,con_95_plus,con_99,con_99_plus
2.400000000000000000e+02,1.368342429496251234e-01,1.642910005995388764e-02,2.624006748771273625e-03,1.394582496983964026e-01,3.464439624673273758e-03,1.402986825742983945e-01
2.600000000000000000e+02,1.444341066208752744e-01,1.724557568411112796e-02,2.754411794706690224e-03,1.471885184155819759e-01,3.636611593593532064e-03,1.480707182144687939e-01
2.800000000000000000e+02,1.471854279954712130e-01,1.728847095885318458e-02,2.761262899758263559e-03,1.499466908952294675e-01,3.645657012331340006e-03,1.508310850078025400e-01
3.000000000000000000e+02,1.543416691968193255e-01,1.854034600245351230e-02,2.961208639393305125e-03,1.573028778362126345e-01,3.909642592208606438e-03,1.582513117890279319e-01
3.200000000000000000e+02,1.368536726607904874e-01,1.738323443068434671e-02,2.776398238195215955e-03,1.396300708989857142e-01,3.665639989219022284e-03,1.405193126500094980e-01
3.400000000000000000e+02,1.554501849141987913e-01,2.353061431700733883e-02,3.758239376791189853e-03,1.592084242909899694e-01,4.961951192412012573e-03,1.604121361066108142e-01
3.600000000000000000e+02,1.606290157061892598e-01,2.034496855187036685e-02,3.249437558285649032e-03,1.638784532644749214e-01,4.290187226118164117e-03,1.649192029323074127e-01
3.800000000000000000e+02,1.666702647487838529e-01,1.880395621563400385e-02,3.003311674611692291e-03,1.696735764233955335e-01,3.965230644182137464e-03,1.706354953929659912e-01
4.000000000000000000e+02,1.749501339607424655e-01,2.074268406259542272e-02,3.312959490736310832e-03,1.782630934514787824e-01,4.374054350286553719e-03,1.793241883110290313e-01
4.200000000000000000e+02,1.715252844060396187e-01,2.075295682358799243e-02,3.314600225412869371e-03,1.748398846314524746e-01,4.376220589466277115e-03,1.759015049955058863e-01
4.400000000000000000e+02,1.817307527382652499e-01,2.410542162110674777e-02,3.850045881085138299e-03,1.855807986193503956e-01,5.083162043499810968e-03,1.868139147817650669e-01
4.600000000000000000e+02,1.704264828427271283e-01,2.099554231017571396e-02,3.353345254150732774e-03,1.737798280968778641e-01,4.427375112175264624e-03,1.748538579549023808e-01
4.800000000000000000e+02,1.868178371775459923e-01,2.400909066107238116e-02,3.834660188118186111e-03,1.906524973656641697e-01,5.062848527007246004e-03,1.918806857045532444e-01
5.000000000000000000e+02,1.953017073985818253e-01,2.097111360033823702e-02,3.349443573642159940e-03,1.986511509722239943e-01,4.422223777651051492e-03,1.997239311762328828e-01
5.200000000000000000e+02,1.972607688663841896e-01,2.261088706589050104e-02,3.611343289656019154e-03,2.008721121560402001e-01,4.768006331096831356e-03,2.020287751974810253e-01
