x,y,std,con_95,con_95_plus,con_99,con_99_plus
3.800000000000000000e+02,4.699085604447822972e-01,4.682865869219578724e-03,7.479333377714736560e-04,4.706564937825537531e-01,9.874859861557076270e-04,4.708960464309380201e-01
4.000000000000000000e+02,4.728910429524136871e-01,4.746992224801305400e-03,7.581754075870148499e-04,4.736492183600006789e-01,1.001008448521418419e-03,4.738920514009350993e-01
4.200000000000000000e+02,4.742713849265853820e-01,4.386201500317270414e-03,7.005509916125927982e-04,4.749719359181979739e-01,9.249277333540792618e-04,4.751963126599394460e-01
4.400000000000000000e+02,4.737133501799075663e-01,5.316366823713310555e-03,8.491142164488455976e-04,4.745624643963564093e-01,1.121073693395137957e-03,4.748344238733027134e-01
4.600000000000000000e+02,4.789535380029059097e-01,4.133531686382681779e-03,6.601953242567627474e-04,4.796137333271626724e-01,8.716467068730540235e-04,4.798251847097789735e-01
4.800000000000000000e+02,4.756591981881624909e-01,5.434547874950610737e-03,8.679897406645297082e-04,4.765271879288270340e-01,1.145994785560742113e-03,4.768051929737232575e-01
5.000000000000000000e+02,4.785056149030660899e-01,3.976908849406310398e-03,6.351799929398961424e-04,4.791407948960059726e-01,8.386193127632391104e-04,4.793442342158293346e-01
5.200000000000000000e+02,4.810456784514637874e-01,4.683187328000773357e-03,7.479846802070440510e-04,4.817936631316708240e-01,9.875537728594959742e-04,4.820332322243232603e-01
5.400000000000000000e+02,4.802391027862375483e-01,4.505128953281649536e-03,7.195457288808484011e-04,4.809586485151183810e-01,9.500062208553851795e-04,4.811891090070929411e-01
5.600000000000000000e+02,4.827889999398937704e-01,4.102363130214383910e-03,6.552171756401855944e-04,4.834442171155339807e-01,8.650741264736864144e-04,4.836540740663674565e-01
5.800000000000000000e+02,4.841602992314796849e-01,4.092407869588566248e-03,6.536271511730758427e-04,4.848139263826527490e-01,8.629748392783943628e-04,4.850232740707580703e-01
6.000000000000000000e+02,4.864592948904284953e-01,4.896216945010261994e-03,7.820091338095638660e-04,4.872413040242380422e-01,1.032475785854936393e-03,4.874917706762834091e-01
6.200000000000000000e+02,4.864640150751386449e-01,4.147058059149923148e-03,6.623557160796938017e-04,4.871263707912183438e-01,8.744990421575142862e-04,4.873385141172961732e-01
6.400000000000000000e+02,4.877193008924459727e-01,4.231959797246843610e-03,6.759159678850720256e-04,4.883952168603310495e-01,8.924024540664577581e-04,4.886117033465124382e-01
