Wall time,Step,Value
1501152653.5035453,0,0.01545877754688263
1501152653.663198,20,0.0752992033958435
1501152653.798828,40,0.05618351325392723
1501152653.934457,60,0.05684840306639671
1501152654.0640812,80,0.06449467688798904
1501152654.1937053,100,0.08327792584896088
1501152654.323329,120,0.08277925848960876
1501152654.453954,140,0.08710106462240219
1501152654.5830777,160,0.08211436867713928
1501152654.7172058,180,0.07214095443487167
1501152654.849833,200,0.0970744714140892
1501152654.983961,220,0.08410904556512833
1501152655.112584,240,0.10854388028383255
1501152655.245711,260,0.11203458160161972
1501152655.377337,280,0.09175531566143036
1501152655.5069609,300,0.11619015783071518
1501152655.6370854,320,0.09424866735935211
1501152655.7677102,340,0.13081781566143036
1501152655.8978345,360,0.12865690886974335
1501152656.0324633,380,0.13763298094272614
1501152656.1620872,400,0.13796542584896088
1501152656.291211,420,0.10638298094272614
1501152656.4223366,440,0.1417885571718216
1501152656.5524604,460,0.11851729452610016
1501152656.6840868,480,0.15026596188545227
1501152656.8142111,500,0.1439494639635086
1501152656.9443355,520,0.15691488981246948
1501152657.076462,540,0.16140292584896088
1501152657.2055855,560,0.12799201905727386
1501152657.3392131,580,0.16539229452610016
1501152657.4713395,600,0.1668882966041565
1501152657.6024647,620,0.1702127754688263
1501152657.7355917,640,0.18035238981246948
1501152657.877728,660,0.1780252754688263
1501152658.1489873,680,0.17503324151039124
1501152658.2791116,700,0.15724734961986542
1501152658.4097366,720,0.18484042584896088
1501152658.5433643,740,0.1891622394323349
1501152658.6739893,760,0.20212766528129578
1501152658.802112,780,0.20229388773441315
1501152658.9352388,800,0.2137632966041565
1501152659.072871,820,0.21027261018753052
1501152659.204997,840,0.18982712924480438
1501152659.3336203,860,0.2215757966041565
1501152659.466247,880,0.22224070131778717
1501152659.596872,900,0.22839094698429108
1501152659.7264957,920,0.22755983471870422
1501152659.8601234,940,0.2170877754688263
1501152659.991749,960,0.23736701905727386
1501152660.130382,980,0.2332114428281784
1501152660.2590048,1000,0.2461768537759781
1501152660.3916318,1020,0.247839093208313
1501152660.52526,1040,0.24351727962493896
1501152660.6543832,1060,0.24301861226558685
1501152660.792515,1080,0.22755983471870422
1501152660.927144,1100,0.25132977962493896
1501152661.0622733,1120,0.25465425848960876
1501152661.1903956,1140,0.2544880211353302
1501152661.32052,1160,0.2696143686771393
1501152661.4476418,1180,0.2646276652812958
1501152661.5767655,1200,0.2644614279270172
1501152661.705388,1220,0.26811835169792175
1501152661.837014,1240,0.2623005211353302
1501152662.00017,1260,0.276928186416626
1501152662.1297941,1280,0.2682845890522003
1501152662.257416,1300,0.26811835169792175
1501152662.3855383,1320,0.2760970890522003
1501152662.5106578,1340,0.276928186416626
1501152662.6417835,1360,0.2862367033958435
1501152662.7719078,1380,0.2779255211353302
1501152662.9000304,1400,0.269115686416626
1501152663.0301547,1420,0.2878989279270172
1501152663.2388544,1440,0.2844082713127136
1501152663.3814907,1460,0.28922873735427856
1501152663.5081122,1480,0.27992022037506104
1501152663.6412394,1500,0.28274598717689514
1501152663.7703626,1520,0.28257980942726135
1501152663.8964837,1540,0.2864029109477997
1501152664.0226038,1560,0.29604387283325195
