Wall time,Step,Value
1501133367.998305,0,0.01213430892676115
1501133368.3073218,20,0.07596409320831299
1501133368.584334,40,0.08826462924480438
1501133368.863348,60,0.08992686122655869
1501133369.139365,80,0.08543883264064789
1501133369.4153805,100,0.06948138028383255
1501133369.6914012,120,0.09341755509376526
1501133369.9634163,140,0.09956781566143036
1501133370.2414265,160,0.09574467688798904
1501133370.5134423,180,0.11037233471870422
1501133370.7884626,200,0.09491356462240219
1501133371.0654788,220,0.11868350952863693
1501133371.3404887,240,0.11702127754688263
1501133371.6115096,260,0.12533245980739594
1501133371.8845253,280,0.12682844698429108
1501133372.1605372,300,0.13746675848960876
1501133372.4355514,320,0.14660905301570892
1501133372.7035673,340,0.12134307622909546
1501133372.975587,360,0.14760637283325195
1501133373.252598,380,0.12849068641662598
1501133373.5226183,400,0.15325798094272614
1501133373.7966332,420,0.16256649792194366
1501133374.0756454,440,0.16339761018753052
1501133374.35566,460,0.17270611226558685
1501133374.6256752,480,0.15159574151039124
1501133374.9026928,500,0.1791888326406479
1501133375.174707,520,0.150598406791687
1501133375.4567273,540,0.16273272037506104
1501133375.7277374,560,0.181848406791687
1501133376.0027542,580,0.16422872245311737
1501133376.2777693,600,0.1924867182970047
1501133376.5587852,620,0.18051861226558685
1501133376.8258002,640,0.19780585169792175
1501133377.0988204,660,0.21176861226558685
1501133377.3758316,680,0.20844413340091705
1501133377.642846,700,0.21160238981246948
1501133377.9098608,720,0.19963429868221283
1501133378.188877,740,0.2137632966041565
1501133378.458894,760,0.22955451905727386
1501133378.736909,780,0.23454122245311737
1501133379.008924,800,0.23587100207805634
1501133379.2869399,820,0.22922207415103912
1501133379.5629582,840,0.23188164830207825
1501133379.8359716,860,0.2348736822605133
1501133380.1079907,880,0.24468085169792175
1501133380.3910072,900,0.2559840679168701
1501133380.6610172,920,0.26363033056259155
1501133380.9360337,940,0.2589760720729828
1501133381.2070487,960,0.26911571621894836
1501133381.4750671,980,0.2662898898124695
1501133381.7450838,1000,0.2706117033958435
1501133382.018095,1020,0.2662898898124695
1501133382.2971132,1040,0.2760970890522003
1501133382.5691257,1060,0.28939494490623474
1501133382.8441463,1080,0.28041890263557434
1501133383.111161,1100,0.2907247245311737
1501133383.3891716,1120,0.2892287075519562
1501133383.6671875,1140,0.26761966943740845
1501133383.937205,1160,0.3030252754688263
1501133384.2122185,1180,0.3001994490623474
1501133384.4862337,1200,0.3108377754688263
1501133384.7652552,1220,0.30535241961479187
1501133385.0482676,1240,0.3113364279270172
1501133385.326286,1260,0.30053192377090454
1501133385.6002975,1280,0.31765294075012207
1501133385.8753183,1300,0.32014626264572144
1501133386.1543286,1320,0.3164893686771393
